time,open,high,low,close,volume
26-07-2019,1231.5,1242.5,1210,1213.8,9320481
29-07-2019,1216.9,1222,1205.1,1210.95,8058035
30-07-2019,1213.95,1220,1175.95,1180.9,9533344
31-07-2019,1175.75,1185,1162.4,1166.25,9705619
01-08-2019,1163.4,1188.2,1150.35,1180.25,10344862
02-08-2019,1175.7,1198.25,1162.1,1184.35,10865385
05-08-2019,1167,1167,1128,1143.35,13897461
06-08-2019,1134.75,1149.6,1122,1128.3,13288909
07-08-2019,1126.5,1138.55,1103.1,1109.4,11588879
08-08-2019,1108.35,1158,1095.3,1152.35,14262936
09-08-2019,1161.85,1175.5,1152.3,1162.1,10043949
13-08-2019,1233.15,1302.8,1226,1274.75,47923444
14-08-2019,1304,1304.45,1280.35,1288.25,14487137
16-08-2019,1291.2,1291.8,1273,1278,10047496
19-08-2019,1281.05,1296.8,1280,1292.6,7459859
20-08-2019,1289.8,1292.6,1272.6,1275.95,6843460
21-08-2019,1275.65,1278.65,1266.5,1270.95,4881553
22-08-2019,1270.95,1271,1238.9,1246.75,6414937
23-08-2019,1239,1284,1226.5,1275.85,9741262
26-08-2019,1294,1294,1259,1266.8,8778739
27-08-2019,1285,1285,1261.2,1274.85,12984396
28-08-2019,1273.75,1281,1256.05,1263.3,5305639
29-08-2019,1256.45,1260.25,1235.3,1241.75,8635974
30-08-2019,1245.5,1254.4,1221,1248.55,11308120
03-09-2019,1242.25,1243,1200,1206.4,8563009
04-09-2019,1200.55,1205.25,1186.05,1201.15,15063355
05-09-2019,1206.8,1213.2,1193.3,1198.6,10512763
06-09-2019,1203,1229,1195.25,1222.5,10600234
09-09-2019,1220.65,1233,1213.15,1222.2,5370758
11-09-2019,1222.5,1240,1222.5,1234.4,5544468
12-09-2019,1235,1240.45,1205.7,1210.35,5431139
13-09-2019,1212,1228.5,1206.9,1225.6,5919260
16-09-2019,1189,1219.1,1186.1,1210.75,9393731
17-09-2019,1211,1211,1193.5,1197.45,7150435
18-09-2019,1204.95,1216.3,1197.2,1205.7,6827281
19-09-2019,1207.85,1209.7,1172.65,1179.05,6293454
20-09-2019,1187.95,1269.9,1174.3,1254.35,22019674
23-09-2019,1274.15,1281,1235,1239.2,9879751
24-09-2019,1243.6,1298.8,1242.75,1278.7,15982067
